x,y,value
0,0,0.00287614
0.0344828,0,0.00575732
0.0689655,0,0.0086447
0.103448,0,0.011537
0.137931,0,0.0144294
0.172414,0,0.0173122
0.206897,0,0.0201701
0.241379,0,0.0229812
0.275862,0,0.0257162
0.310345,0,0.0283386
0.344828,0,0.0308045
0.37931,0,0.0330639
0.413793,0,0.0350624
0.448276,0,0.0367432
0.482759,0,0.0380508
0.517241,0,0.0389337
0.551724,0,0.0393485
0.586207,0,0.0392622
0.62069,0,0.0386553
0.655172,0,0.0375226
0.689655,0,0.0358739
0.724138,0,0.0337327
0.758621,0,0.0311347
0.793103,0,0.0281251
0.827586,0,0.0247552
0.862069,0,0.0210798
0.896552,0,0.0171543
0.931034,0,0.0130329
0.965517,0,0.00876743
1,0,0.00440735
0,0.0344828,0.00575732
0.0344828,0.0344828,0.0115256
0.0689655,0.0344828,0.0173083
0.103448,0.0344828,0.0231039
0.137931,0.0344828,0.0289036
0.172414,0.0344828,0.0346892
0.206897,0.0344828,0.0404308
0.241379,0.0344828,0.0460851
0.275862,0.0344828,0.0515939
0.310345,0.0344828,0.0568838
0.344828,0.0344828,0.0618661
0.37931,0.0344828,0.0664394
0.413793,0.0344828,0.0704921
0.448276,0.0344828,0.0739082
0.482759,0.0344828,0.076573
0.517241,0.0344828,0.0783804
0.551724,0.0344828,0.0792403
0.586207,0.0344828,0.0790849
0.62069,0.0344828,0.0778735
0.655172,0.0344828,0.0755956
0.689655,0.0344828,0.0722715
0.724138,0.0344828,0.0679503
0.758621,0.0344828,0.0627061
0.793103,0.0344828,0.0566322
0.827586,0.0344828,0.0498346
0.862069,0.0344828,0.0424251
0.896552,0.0344828,0.0345166
0.931034,0.0344828,0.0262185
0.965517,0.0344828,0.0176349
1,0.0344828,0.0088641
0,0.0689655,0.0086447
0.0344828,0.0689655,0.0173083
0.0689655,0.0689655,0.0259986
0.103448,0.0689655,0.034716
0.137931,0.0689655,0.0434499
0.172414,0.0689655,0.0521756
0.206897,0.0689655,0.0608502
0.241379,0.0689655,0.0694105
0.275862,0.0689655,0.07777
0.310345,0.0689655,0.0858178
0.344828,0.0689655,0.093419
0.37931,0.0689655,0.100417
0.413793,0.0689655,0.106639
0.448276,0.0689655,0.111903
0.482759,0.0689655,0.116028
0.517241,0.0689655,0.118847
0.551724,0.0689655,0.120216
0.586207,0.0689655,0.120028
0.62069,0.0689655,0.118218
0.655172,0.0689655,0.11477
0.689655,0.0689655,0.109716
0.724138,0.0689655,0.103136
0.758621,0.0689655,0.0951472
0.793103,0.0689655,0.085898
0.827586,0.0689655,0.0755552
0.862069,0.0689655,0.0642938
0.896552,0.0689655,0.0522876
0.931034,0.0689655,0.0397033
0.965517,0.0689655,0.0266978
1,0.0689655,0.0134173
0,0.103448,0.011537
0.0344828,0.103448,0.0231039
0.0689655,0.103448,0.034716
0.103448,0.103448,0.0463789
0.137931,0.103448,0.0580836
0.172414,0.103448,0.0698018
0.206897,0.103448,0.0814809
0.241379,0.103448,0.0930399
0.275862,0.103448,0.104365
0.310345,0.103448,0.115308
0.344828,0.103448,0.125686
0.37931,0.103448,0.135281
0.413793,0.103448,0.143852
0.448276,0.103448,0.151141
0.482759,0.103448,0.156891
0.517241,0.103448,0.160859
0.551724,0.103448,0.162839
0.586207,0.103448,0.162677
