x,y,value
0,0,0.0327295
0.0126582,0,0.0574408
0.0253165,0,0.077295
0.0379747,0,0.0937774
0.0506329,0,0.107701
0.0632911,0,0.11957
0.0759494,0,0.129727
0.0886076,0,0.138422
0.101266,0,0.145853
0.113924,0,0.152181
0.126582,0,0.157543
0.139241,0,0.162062
0.151899,0,0.16585
0.164557,0,0.16901
0.177215,0,0.171636
0.189873,0,0.173814
0.202532,0,0.175623
0.21519,0,0.177133
0.227848,0,0.178406
0.240506,0,0.179494
0.253165,0,0.180443
0.265823,0,0.181293
0.278481,0,0.18208
0.291139,0,0.182835
0.303797,0,0.183586
0.316456,0,0.184361
0.329114,0,0.185187
0.341772,0,0.18609
0.35443,0,0.187097
0.367089,0,0.188236
0.379747,0,0.189536
0.392405,0,0.191026
0.405063,0,0.192732
0.417722,0,0.194684
0.43038,0,0.196903
0.443038,0,0.199409
0.455696,0,0.202213
0.468354,0,0.205317
0.481013,0,0.208712
0.493671,0,0.212378
0.506329,0,0.21628
0.518987,0,0.220375
0.531646,0,0.224606
0.544304,0,0.228912
0.556962,0,0.233227
0.56962,0,0.237483
0.582278,0,0.241614
0.594937,0,0.245559
0.607595,0,0.249258
0.620253,0,0.25266
0.632911,0,0.255718
0.64557,0,0.25839
0.658228,0,0.260641
0.670886,0,0.262439
0.683544,0,0.263755
0.696203,0,0.264565
0.708861,0,0.264847
0.721519,0,0.264578
0.734177,0,0.263738
0.746835,0,0.262308
0.759494,0,0.260267
0.772152,0,0.257593
0.78481,0,0.254264
0.797468,0,0.250254
0.810127,0,0.245535
0.822785,0,0.240075
0.835443,0,0.233838
0.848101,0,0.226781
0.860759,0,0.218854
0.873418,0,0.209999
0.886076,0,0.200145
0.898734,0,0.189205
0.911392,0,0.177074
0.924051,0,0.163616
0.936709,0,0.148655
0.949367,0,0.131957
0.962025,0,0.113189
0.974684,0,0.091856
0.987342,0,0.0671483
1,0,0.0375831
0,0.0126582,0.057454
0.0126582,0.0126582,0.103716
0.0253165,0.0126582,0.141939
0.0379747,0.0126582,0.17409
0.0506329,0.0126582,0.201434
0.0632911,0.0126582,0.224829
0.0759494,0.0126582,0.244891
0.0886076,0.0126582,0.262086
0.101266,0.0126582,0.276787
0.113924,0.0126582,0.289303
0.126582,0.0126582,0.299905
0.139241,0.0126582,0.308832
0.151899,0.0126582,0.316306
0.164557,0.0126582,0.322531
0.177215,0.0126582,0.327695
0.189873,0.0126582,0.331974
0.202532,0.0126582,0.335523
0.21519,0.0126582,0.338482
0.227848,0.0126582,0.340973
0.240506,0.0126582,0.343103
0.253165,0.0126582,0.344961
0.265823,0.0126582,0.346627
0.278481,0.0126582,0.34817
0.291139,0.0126582,0.34965
0.303797,0.0126582,0.351125
0.316456,0.0126582,0.352649
0.329114,0.0126582,0.354274
0.341772,0.0126582,0.356052
0.35443,0.0126582,0.358039
0.367089,0.0126582,0.360289
0.379747,0.0126582,0.36286
0.392405,0.0126582,0.36581
0.405063,0.0126582,0.369197
0.417722,0.0126582,0.373076
0.43038,0.0126582,0.377496
0.443038,0.0126582,0.382497
0.455696,0.0126582,0.388102
0.468354,0.0126582,0.394319
0.481013,0.0126582,0.401131
0.493671,0.0126582,0.408496
0.506329,0.0126582,0.416346
0.518987,0.0126582,0.42459
0.531646,0.0126582,0.433114
0.544304,0.0126582,0.441792
0.556962,0.0126582,0.450489
0.56962,0.0126582,0.459067
0.582278,0.0126582,0.467393
0.594937,0.0126582,0.47534
0.607595,0.0126582,0.482791
0.620253,0.0126582,0.489642
0.632911,0.0126582,0.495798
0.64557,0.0126582,0.501179
0.658228,0.0126582,0.505713
0.670886,0.0126582,0.509336
0.683544,0.0126582,0.511994
0.696203,0.0126582,0.513637
0.708861,0.0126582,0.51422
0.721519,0.0126582,0.513703
0.734177,0.0126582,0.512044
0.746835,0.0126582,0.509204
0.759494,0.0126582,0.505143
0.772152,0.0126582,0.499819
0.78481,0.0126582,0.493186
0.797468,0.0126582,0.485194
0.810127,0.0126582,0.475788
0.822785,0.0126582,0.464904
0.835443,0.0126582,0.452472
0.848101,0.0126582,0.438408
0.860759,0.0126582,0.422613
0.873418,0.0126582,0.404974
0.886076,0.0126582,0.385352
0.898734,0.0126582,0.36358
0.911392,0.0126582,0.339452
0.924051,0.0126582,0.312711
0.936709,0.0126582,0.283025
0.949367,0.0126582,0.24996
0.962025,0.0126582,0.212921
0.974684,0.0126582,0.171063
0.987342,0.0126582,0.123131
1,0.0126582,0.0671612
0,0.0253165,0.0773481
0.0126582,0.0253165,0.142005
0.0253165,0.0253165,0.196632
0.0379747,0.0253165,0.243187
0.0506329,0.0253165,0.283093
0.0632911,0.0253165,0.317398
0.0759494,0.0253165,0.346898
0.0886076,0.0253165,0.372221
0.101266,0.0253165,0.393882
0.113924,0.0253165,0.412318
0.126582,0.0253165,0.427918
0.139241,0.0253165,0.441032
0.151899,0.0253165,0.451987
0.164557,0.0253165,0.461088
0.177215,0.0253165,0.468618
0.189873,0.0253165,0.47484
0.202532,0.0253165,0.479989
0.21519,0.0253165,0.484274
0.227848,0.0253165,0.487879
0.240506,0.0253165,0.49096
0.253165,0.0253165,0.493649
0.265823,0.0253165,0.496062
0.278481,0.0253165,0.498299
0.291139,0.0253165,0.500448
0.303797,0.0253165,0.502593
0.316456,0.0253165,0.504812
0.329114,0.0253165,0.507183
0.341772,0.0253165,0.509783
0.35443,0.0253165,0.512694
0.367089,0.0253165,0.515997
0.379747,0.0253165,0.519782
0.392405,0.0253165,0.524135
0.405063,0.0253165,0.529148
0.417722,0.0253165,0.534905
0.43038,0.0253165,0.541486
0.443038,0.0253165,0.548956
0.455696,0.0253165,0.557357
0.468354,0.0253165,0.566703
0.481013,0.0253165,0.576973
0.493671,0.0253165,0.588105
0.506329,0.0253165,0.599995
0.518987,0.0253165,0.6125
0.531646,0.0253165,0.625445
0.544304,0.0253165,0.63863
0.556962,0.0253165,0.651847
0.56962,0.0253165,0.664881
0.582278,0.0253165,0.677528
0.594937,0.0253165,0.689593
0.607595,0.0253165,0.700901
0.620253,0.0253165,0.711294
0.632911,0.0253165,0.720631
0.64557,0.0253165,0.728792
0.658228,0.0253165,0.735671
0.670886,0.0253165,0.741175
0.683544,0.0253165,0.745224
0.696203,0.0253165,0.747744
0.708861,0.0253165,0.748672
0.721519,0.0253165,0.747946
0.734177,0.0253165,0.745508
0.746835,0.0253165,0.741299
0.759494,0.0253165,0.73526
0.772152,0.0253165,0.727331
0.78481,0.0253165,0.717443
0.797468,0.0253165,0.705525
0.810127,0.0253165,0.691494
0.822785,0.0253165,0.67526
0.835443,0.0253165,0.656716
0.848101,0.0253165,0.635741
0.860759,0.0253165,0.612194
0.873418,0.0253165,0.585909
0.886076,0.0253165,0.556686
0.898734,0.0253165,0.524286
0.911392,0.0253165,0.48842
0.924051,0.0253165,0.448727
0.936709,0.0253165,0.404752
0.949367,0.0253165,0.355914
0.962025,0.0253165,0.301447
0.974684,0.0253165,0.240322
0.987342,0.0253165,0.171128
1,0.0253165,0.0919076
0,0.0379747,0.09391
0.0126582,0.0379747,0.174302
0.0253165,0.0379747,0.243373
0.0379747,0.0379747,0.302911
0.0506329,0.0379747,0.354331
0.0632911,0.0379747,0.398749
0.0759494,0.0379747,0.43706
0.0886076,0.0379747,0.469996
0.101266,0.0379747,0.498178
0.113924,0.0379747,0.522147
0.126582,0.0379747,0.542393
0.139241,0.0379747,0.559369
0.151899,0.0379747,0.5735
0.164557,0.0379747,0.585193
0.177215,0.0379747,0.594827
0.189873,0.0379747,0.602755
0.202532,0.0379747,0.609294
0.21519,0.0379747,0.614725
0.227848,0.0379747,0.619287
0.240506,0.0379747,0.623185
0.253165,0.0379747,0.62659
0.265823,0.0379747,0.62965
0.278481,0.0379747,0.632491
0.291139,0.0379747,0.635227
0.303797,0.0379747,0.637964
0.316456,0.0379747,0.640801
0.329114,0.0379747,0.64384
0.341772,0.0379747,0.647181
0.35443,0.0379747,0.650932
0.367089,0.0379747,0.655203
0.379747,0.0379747,0.660111
0.392405,0.0379747,0.665778
0.405063,0.0379747,0.672329
0.417722,0.0379747,0.679887
0.43038,0.0379747,0.688565
0.443038,0.0379747,0.698461
0.455696,0.0379747,0.709643
0.468354,0.0379747,0.72214
0.481013,0.0379747,0.735931
0.493671,0.0379747,0.750934
0.506329,0.0379747,0.767007
0.518987,0.0379747,0.783949
0.531646,0.0379747,0.801511
0.544304,0.0379747,0.819415
0.556962,0.0379747,0.837363
0.56962,0.0379747,0.85506
0.582278,0.0379747,0.87222
0.594937,0.0379747,0.888581
0.607595,0.0379747,0.903904
0.620253,0.0379747,0.917977
0.632911,0.0379747,0.930618
0.64557,0.0379747,0.941665
0.658228,0.0379747,0.950981
0.670886,0.0379747,0.958447
0.683544,0.0379747,0.963958
0.696203,0.0379747,0.967422
0.708861,0.0379747,0.968755
0.721519,0.0379747,0.967879
0.734177,0.0379747,0.964718
0.746835,0.0379747,0.959199
0.759494,0.0379747,0.951245
0.772152,0.0379747,0.940777
0.78481,0.0379747,0.927708
0.797468,0.0379747,0.911945
0.810127,0.0379747,0.893382
0.822785,0.0379747,0.871901
0.835443,0.0379747,0.847367
0.848101,0.0379747,0.819624
0.860759,0.0379747,0.788492
0.873418,0.0379747,0.753758
0.886076,0.0379747,0.715172
0.898734,0.0379747,0.672437
0.911392,0.0379747,0.625193
0.924051,0.0379747,0.573
0.936709,0.0379747,0.51532
0.949367,0.0379747,0.451474
0.962025,0.0379747,0.380609
0.974684,0.0379747,0.301628
0.987342,0.0379747,0.213128
1,0.0379747,0.113318
0,0.0506329,0.107966
0.0126582,0.0506329,0.201898
0.0253165,0.0506329,0.283624
0.0379747,0.0506329,0.354729
0.0506329,0.0506329,0.416546
0.0632911,0.0506329,0.470184
0.0759494,0.0506329,0.516573
0.0886076,0.0506329,0.556503
0.101266,0.0506329,0.590664
0.113924,0.0506329,0.619677
0.126582,0.0506329,0.644116
0.139241,0.0506329,0.664525
0.151899,0.0506329,0.681429
0.164557,0.0506329,0.695334
0.177215,0.0506329,0.70672
0.189873,0.0506329,0.716036
0.202532,0.0506329,0.723686
0.21519,0.0506329,0.730021
0.227848,0.0506329,0.735336
0.240506,0.0506329,0.739879
0.253165,0.0506329,0.743854
0.265823,0.0506329,0.747433
0.278481,0.0506329,0.750765
0.291139,0.0506329,0.753983
0.303797,0.0506329,0.75721
0.316456,0.0506329,0.760566
0.329114,0.0506329,0.764171
0.341772,0.0506329,0.768148
0.35443,0.0506329,0.772627
0.367089,0.0506329,0.777747
0.379747,0.0506329,0.783657
0.392405,0.0506329,0.790514
0.405063,0.0506329,0.798482
0.417722,0.0506329,0.807725
0.43038,0.0506329,0.818403
0.443038,0.0506329,0.830656
0.455696,0.0506329,0.844591
0.468354,0.0506329,0.860261
0.481013,0.0506329,0.877653
0.493671,0.0506329,0.89667
0.506329,0.0506329,0.917126
0.518987,0.0506329,0.938753
0.531646,0.0506329,0.961214
0.544304,0.0506329,0.984132
0.556962,0.0506329,1.00711
0.56962,0.0506329,1.02975
0.582278,0.0506329,1.05169
0.594937,0.0506329,1.07258
0.607595,0.0506329,1.09213
0.620253,0.0506329,1.11007
0.632911,0.0506329,1.12617
0.64557,0.0506329,1.14025
0.658228,0.0506329,1.15212
0.670886,0.0506329,1.16165
0.683544,0.0506329,1.16872
0.696203,0.0506329,1.17321
0.708861,0.0506329,1.17502
0.721519,0.0506329,1.17407
0.734177,0.0506329,1.17026
0.746835,0.0506329,1.16351
0.759494,0.0506329,1.15372
0.772152,0.0506329,1.1408
0.78481,0.0506329,1.12464
0.797468,0.0506329,1.10514
0.810127,0.0506329,1.08216
0.822785,0.0506329,1.05557
0.835443,0.0506329,1.0252
0.848101,0.0506329,0.990873
0.860759,0.0506329,0.952367
0.873418,0.0506329,0.909435
0.886076,0.0506329,0.861786
0.898734,0.0506329,0.809074
0.911392,0.0506329,0.75089
0.924051,0.0506329,0.686739
